Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
శక్తి,ശക്തി,ശക്തി,śakti,Power
స్వరూపిణి,സ്വരൂപിണി,രൂപത,svarūpiṇi,The embodiment
జన్మించి,ജന്മിംചി,ജനിച്ച,janmiṃci,Born
అమ్మాయిగా,അമ്മായിഗാ,ഒരു പെൺകുട്ടിയെന്ന നിലയിൽ,ammāyigā,As a girl
ఎదిగి;,എദിഗി;,വളർന്നുകൊണ്ടിരിക്കുന്ന;,èdigi;,Growing up;
"అమ్మగామారి,","അമ്മഗാമാരി,","സെയിൽസ്മാൻ,","ammagāmāri,","The salesman,"
అమ్మమ్మ,അമ്മമ്മ,മാതാമഹി,ammamma,Grandmother
(మామ్మ),(മാമ്മ),(മമ്മ),(māmma),(Mamma)
అయ్యేవరకూ,അയ്യേവരകൂ,അത് മാറുന്നതുവരെ,ayyevarakū,Until it becomes
వివిధ,വിവിധ,വതസ്തമായ,vividha,Different
దశలలో,ദശലലോ,ഘട്ടങ്ങളിൽ,daśalalo,In steps
అవసరమయ్యే,അവസരമയ്യേ,ആവശത്തിലുള്ള,avasaramayye,Needed
"పోషణ,","പോഷണ,","പോഷകാഹാരം,","poṣaṇa,","Nutrition,"
రక్షణ;,രക്ഷണ;,സംരക്ഷണം;,rakṣaṇa;,Protection;
సమస్యలు,സമസ്യലു,പ്രശ്നങ്ങൾ,samasyalu,Problems
పిషార్రాలు;,പിഷാര്രാലു;,പിസാറുകൾ;,piṣārrālu;,Pisars;
మానసిక,മാനസിക,മാനസികമായ,mānasika,Mental
పరిణతి,പരിണതി,പകമായ,pariṇati,Mature
కలగడానికి,കലഗഡാനികി,സ്വപ്നം കാണാൻ,kalagaḍāniki,To dream
ఒత్తిడి,ഒത്തിഡി,സമ്മര്ദ്ദം,òttiḍi,Stress
తగ్గించుకోవడానికి,തഗ്ഗിംചുകോവഡാനികി,കുറയ്ക്കുന്നതിന്,taggiṃcukovaḍāniki,To reduce
సూచనలతో,സൂചനലതോ,നിർദ്ദേശങ്ങൾക്കൊപ്പം,sūcanalato,With instructions
6,6,6,6,౬
ఆడవారికి,ആഡവാരികി,സ്ത്രീകൾക്ക്,āḍavāriki,For females
అన్నివేళలా,അന്നിവേളലാ,എല്ലായിപ്പോഴും,anniveḻalā,Always
ఆప్తమిత్రురాలి,ആപ്തമിത്രുരാലി,ആപ്തമിത്ര,āptamitrurāli,Aptamitra
వుండే,വുംഡേ,ആകാൻ,vuṃḍe,To be
పుస్తకాన్ని,പുസ്തകാന്നി,പുസ്തകം,pustakānni,The book
అందించాలనే,അംദിംചാലനേ,നൽകാൻ,aṃdiṃcālane,To provide
"డా""గాయత్రీదేవి","ഡാ""ഗായത്രീദേവി","Da ""ഗായത്രി ദേവി","ḍā""gāyatrīdevi",Da “Gayatri Devi
గారి,ഗാരി,ഗാരി,gāri,Gary
ప్రయత్న,പ്രയത്ന,ശ്രമിച്ചു,prayatna,Attempted
ఫలితమే,ഫലിതമേ,ഫലം,phalitame,The result is
ఆరోగ్య,ആരോഗ്യ,ആരോഗം,ārogya,Health
ఆరోగ్య,ആരോഗ്യ,ആരോഗം,ārogya,Health
:,:,:,:,:
