Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
ముందుండుచ్కరు.,ಮುಂದುಂಡುಚ್ಕರು.,ಮುಂದುಂಡುಚ್ಕರು,muṃduṃḍuckaru.,They are scared.
బాద్రయ,ಬಾದ್ರಯ,ಬಾದ್ರಯ,bādraya,Badray
సహనాద్రం,ಸಹನಾದ್ರಂ,ಸಹನಾದ್ರಂ,sahanādraṃ,Tolerance
[ప్రదంచకె,[ಪ್ರದಂಚಕೆ,[ಪ್ರದಂಚಕೆ,[pradaṃcakè,[Provider
భర్తలే,ಭರ್ತಲೇ,ಭರ್ತಲೇ,bhartale,Husband
కారణక,ಕಾರಣಕ,ಕಾರಣಕ,kāraṇaka,Reason
సంసారాల,ಸಂಸಾರಾಲ,ಸಂಸಾರಾಲ,saṃsārāla,Relationships
నాన్న,ನಾನ್ನ,ನಾನ್ನ,nānna,My father
కాక్రమె,ಕಾಕ್ರಮೆ,ಕಾಕ್ರಮೆ,kākramè,Gradually
నిర్మచెకపదరుక,ನಿರ್ಮಚೆಕಪದರುಕ,ನಿರ್ಮಚೆಕಪದರುಕ,nirmacèkapadaruka,They built
"గడ్ధయ్రచ్ను,","ಗಡ್ಧಯ್ರಚ್ನು,",ಗಡ್ಧಯ್ರಚ್ನು,"gaḍdhayracnu,",Gaddhayrachnu
ఉ,ಉ,ಉ,u,
స్తర్వ,ಸ್ತರ್ವ,ಸ್ತರ್ವ,starva,U
తిరవడు,ತಿರವಡು,ತಿರವಡು,tiravaḍu,Starve
"ఉదోగ్కరాలు,","ಉದೋಗ್ಕರಾಲು,",ಉದೋಗ್ಕರಾಲು,"udogkarālu,",Turn
ఆస్తీయ,ಆಸ್ತೀಯ,ಆಸ್ತೀಯ,āstīya,Enterprises
అధరోదయ,ಅಧರೋದಯ,ಅಧರೋದಯ,adharodaya,
స్వాలికీ,ಸ್ವಾಲಿಕೀ,ಸ್ವಾಲಿಕೀ,svālikī,Asti
కీర్తి,ಕೀರ್ತಿ,ಕೀರ್ತಿ,kīrti,Sunrise
"ఆఉల్,","ಆಉಲ್,",ಆಉಲ್,"āul,",Swarlicki
అరత్న్చకర్మ్యార,ಅರತ್ನ್ಚಕರ್ಮ್ಯಾರ,ಅರತ್ನ್ಚಕರ್ಮ್ಯಾರ,aratncakarmyāra,Fame
రచ్కర్రా,ರಚ್ಕರ್ರಾ,ರಚ್ಕರ್ರಾ,rackarrā,Aul
న్నిర్స్కమేక,ನ್ನಿರ್ಸ್ಕಮೇಕ,ನಿರ್ಸ್ಕಮೇಕ,nnirskameka,
దచ్కర,ದಚ್ಕರ,ದಚ್ಕರ,dackara,Aratnchakarmyara
-,-,-,-,Rachkara
ఇండక్ట్క్సచణ్కర్నేక,ಇಂಡಕ್ಟ್ಕ್ಸಚಣ್ಕರ್ನೇಕ,ಇಂಡಕ್ಟ್ಕ್ಸಚಣ್ಕರ್ನೇಕ,iṃḍakṭksacaṇkarneka,They are unscathed
సందరుసంద,ಸಂದರುಸಂದ,ಸಂದರುಸಂದ,saṃdarusaṃda,Dachkar
పేకె,ಪೇಕೆ,ಪೇಕೆ,pekè,-
-,-,-,-,Inductksachankarnek
అల్ర్చնես,ಅಲ್ರ್ಚնես,ಅಲ್ರ್ಚնես,alrcaնես,Sandarusand
శ్రీ,ಶ್ರೀ,ಶ್ರೀ,śrī,Peke
శ్రీ్యతుపరాన్ని,ಶ್ರೀ್ಯತುಪರಾನ್ನಿ,ಶ್ರೀ್ಯತುಪರಾನ್ನಿ,śrīyatuparānni,-
క్షేజాకోరణే,ಕ್ಷೇಜಾಕೋರಣೇ,ಕ್ಷೇಜಾಕೋರಣೇ,kṣejākoraṇe,Alrchnes
ప్గ్ని.,ಪ್ಗ್ನಿ.,ಪ್ಗ್ನಿ,pgni.,Sri
అసరన్యం,ಅಸರನ್ಯಂ,ಅಸರನ್ಯಂ,asaranyaṃ,Sriyathuparanni
ఇదిట,ಇದಿಟ,ಇದಿಟ,idiṭa,Kshejakorane
మరగ్ఆ,ಮರಗ್ಆ,ಮರಗ್ಆ,maragā,Pgni.
-,-,-,-,Asaranyam
అట్లుకే,ಅಟ್ಲುಕೇ,ಅಟ್ಲುಕೇ,aṭluke,Itid
శ్రీ,ಶ್ರೀ,ಶ್ರೀ,śrī,Marag
శ్వ్రాన్,ಶ್ವ್ರಾನ್,ಶ್ವ್ರಾನ್,śvrān,-
కరశ్తాయన్కెన్,ಕರಶ್ತಾಯನ್ಕೆನ್,ಕರಶ್ತಾಯನ್ಕೆನ್,karaśtāyankèn,Atluke
"అడ్గి,","ಅಡ್ಗಿ,",ಅಡ್ಗಿ,"aḍgi,",Sri
"అబుతర్మ్రీ,","ಅಬುತರ್ಮ್ರೀ,",ಅಬುತರ್ಮ್ರೀ,"abutarmrī,",Shvran
అశ్ర్తి,ಅಶ್ರ್ತಿ,ಅಶ್ರ್ತಿ,aśrti,Karashtayanken
"రద్భలాస్తి,","ರದ್ಭಲಾಸ್ತಿ,",ರದ್ಭಲಾಸ್ತಿ,"radbhalāsti,",Adgi
అశ్ర్తి,ಅಶ್ರ್ತಿ,ಅಶ್ರ್ತಿ,aśrti,
హధ్వి,ಹಧ್ವಿ,ಹಧ್ವಿ,hadhvi,Abutarmri
-,-,-,-,
నస్మార,ನಸ್ಮಾರ,ನಸ್ಮಾರ,nasmāra,Negligence
తియె,ತಿಯೆ,ತಿಯೆ,tiyè,Radbhalasti
భ్రమణికెట్,ಭ್ರಮಣಿಕೆಟ್,ಭ್ರಮಣಿಕೆಟ್,bhramaṇikèṭ,
షన్యష్,ಷನ್ಯಷ್,ಷನ್ಯಷ್,ṣanyaṣ,Negligence
-,-,-,-,Hadhvi
ఎజ్రేంచ్.,ಎಜ್ರೇಂಚ್.,ಎಜ್ರೇಂಚ್,èjreṃc.,-
అధ్యోజకేక్షన్యున,ಅಧ್ಯೋಜಕೇಕ್ಷನ್ಯುನ,ಅಧ್ಯೋಜಕೇಕ್ಷನ್ಯುನ,adhyojakekṣanyuna,Nasmara
-,-,-,-,Tiye
"బాద్రాంక,","ಬಾದ್ರಾಂಕ,",ಬಾದ್ರಾಂಕ,"bādrāṃka,",Wanderer
మభ్స్,ಮಭ್ಸ್,ಮಭ್ಸ,mabhs,Shanyash
తి,ತಿ,ತಿ,ti,-
వచుర్వీస్,ವಚುರ್ವೀಸ್,ವಚುರ್ವೀಸ್,vacurvīs,Ezrench.
సంత్త్సం,ಸಂತ್ತ್ಸಂ,ಸಂತ್ಸಂ,saṃttsaṃ,Adhyojakenyun
ల్మారమ్ంజ్,ಲ್ಮಾರಮ್ಂಜ್,ಲ್ಮಾರಮ್ಂಜ್,lmāramṃj,-
-మార్కాజ్కన్.,-ಮಾರ್ಕಾಜ್ಕನ್.,-ಮಾರ್ಕಾಜ್ಕನ್,-mārkājkan.,Badramk
-,-,-,-,
అయోర్దే,ಅಯೋರ್ದೇ,ಅಯೋರ್ದೇ,ayorde,Mabhs
అస్నికొర్పం,ಅಸ್ನಿಕೊರ್ಪಂ,ಅಸ್ನಿಕೊರ್ಪಂ,asnikòrpaṃ,Ti
అంకుడయ్కతె,ಅಂಕುಡಯ್ಕತೆ,ಅಂಕುಡಯ್ಕತೆ,aṃkuḍaykatè,Vachurvis
అము,ಅಮು,ಅಮು,amu,Santtsam
"బ్రవుత్స్దేయ్క్స్షం,","ಬ್ರವುತ್ಸ್ದೇಯ್ಕ್ಸ್ಷಂ,",ಬ್ರವುತ್ಸ್ದೇಯ್ಕ್ಷಂ,"bravutsdeyksṣaṃ,",Lmaramnj
అండర్కారని,ಅಂಡರ್ಕಾರನಿ,ಅಂಡರ್ಕಾರನಿ,aṃḍarkārani,-Markajkan.
జగాంగడ్మిదె,ಜಗಾಂಗಡ್ಮಿದೆ,ಜಗಾಂಗಡ್ಮಿದೆ,jagāṃgaḍmidè,-
గాడి,ಗಾಡಿ,ಗಾಡಿ,gāḍi,Ayorday
ఓగ్రక్,ಓಗ್ರಕ್,ಓಗ್ರಕ್,ograk,Asnikorpam
చ్చటె.,ಚ್ಚಟೆ.,ಚ್ಚಟೆ,ccaṭè.,Ankudaykate
