Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
మనము,ಮನಮು,,manamu,Time
అంటారు.,ಅಂಟಾರು.,,aṃṭāru.,Changed
కాలం,ಕಾಲಂ,,kālaṃ,Sri
మారింది.,ಮಾರಿಂದಿ.,,māriṃdi.,Power
శ్రీ,ಶ್ರೀ,,śrī,Gauridwa
శక్తి,ಶಕ್ತಿ,,śakti,Years
గౌరిద్వ,ಗೌರಿದ್ವ,,gauridva,Days
వర్షే,ವರ್ಷೇ,,varṣe,Have come
రోజులు,ರೋಜುಲು,,rojulu,All
వచ్చాయి.,ವಚ್ಚಾಯಿ.,,vaccāyi.,As a part
అన్నీ,ಅನ್ನೀ,,annī,He
భాగంగాలి,ಭಾಗಂಗಾಲಿ,,bhāgaṃgāli,present
ఆయన,ಆಯನ,,āyana,Chandravali Rajyara
láthairత్తు,láthairತ್ತು,,láthairttu,Every
చంద్రవళీరాజ్యర,ಚಂದ್ರವಳೀರಾಜ್ಯರ,,caṃdravaḻīrājyara,Doctors
ప్రతి,ಪ್ರತಿ,,prati,Because
చికిత్సర,ಚಿಕಿತ್ಸರ,,cikitsara,This time
వలన,ವಲನ,,valana,Aunt
ఈసారి,ಈಸಾರಿ,,īsāri,Listen
అత్తా,ಅತ್ತಾ,,attā,Ask
వినరి,ವಿನರಿ,,vinari,Start.
ప్రశ్నను,ಪ್ರಶ್ನನು,,praśnanu,Lucky
ముందుంచుట్రంది.,ಮುಂದುಂಚುಟ್ರಂದಿ.,,muṃduṃcuṭraṃdi.,Reehpar
భాగ్యారా,ಭಾಗ್ಯಾರಾ,,bhāgyārā,Performance
రీహపర్,ರೀಹಪರ್,,rīhapar,As a group
ప్రదర్శనం,ಪ್ರದರ್ಶನಂ,,pradarśanaṃ,Between husband and wife
రంబ్రతాగంగా,ರಂಬ್ರತಾಗಂಗಾ,,raṃbratāgaṃgā,To
భర్తృభ్యంతర,ಭರ್ತೃಭ್ಯಂತರ,,bhartṛbhyaṃtara,These
పందమిన,ಪಂದಮಿನ,,paṃdamina,Contexts
కి,ಕಿ,,ki,Welbalano
ఈ,ಈ,,ī,Search
సందర్భాల,ಸಂದರ್ಭಾಲ,,saṃdarbhāla,Achieve
వెల్బాలనో,ವೆಲ್ಬಾಲನೋ,,vèlbālano,Kshansanu
అనుసంధాన,ಅನುಸಂಧಾನ,,anusaṃdhāna,Sandho
"సాధో,","ಸಾಧೋ,",,"sādho,",Rukaripichi
క్షన్సాను,ಕ್ಷನ್ಸಾನು,,kṣansānu,Atman
సంధో,ಸಂಧೋ,,saṃdho,Providing
రుకారిపిచి,ರುಕಾರಿಪಿಚಿ,,rukāripici,To the enterprise
అత్వం,ಅತ್ವಂ,,atvaṃ,Providing opportunities
ప్రదానంగా,ಪ್ರದಾನಂಗಾ,,pradānaṃgā,Consciousness
ఉద్యమానికి,ಉದ್ಯಮಾನಿಕಿ,,udyamāniki,For the characters
అవసరంలేచి,ಅವಸರಂಲೇಚಿ,,avasaraṃleci,Search-
చైతన్య,ಚೈತನ್ಯ,,caitanya,This is a challenge
పాత్రకానికి,ಪಾತ್ರಕಾನಿಕಿ,,pātrakāniki,Go ahead.
అనుసంధానం-,ಅನುಸಂಧಾನಂ-,,anusaṃdhānaṃ-,Ayinu
ఇదియాభ్యంగం,ಇದಿಯಾಭ್ಯಂಗಂ,,idiyābhyaṃgaṃ,Excellence
ముందుకో.,ಮುಂದುಕೋ.,,muṃduko.,Influences
"అయినను,","ಅಯಿನನು,",,"ayinanu,",P
శ్రేషంషత్రీ,ಶ್ರೇಷಂಷತ್ರೀ,,śreṣaṃṣatrī,reductived
ప్రభావములన్నీ,ಪ್ರಭಾವಮುಲನ್ನೀ,,prabhāvamulannī,Look.
ప,ಪ,,pa,If
reductived,reductived,,reductived,Now
గా,ಗಾ,,gā,Universal forms
చూస్తారు.,ಚೂಸ್ತಾರು.,,cūstāru.,Obedience
అయితే,ಅಯಿತೇ,,ayite,Establishing this
ఇప్పుడు,ಇಪ್ಪುಡು,,ippuḍu,Galat
విశ్వరూపత్లు,ವಿಶ್ವರೂಪತ್ಲು,,viśvarūpatlu,Jesus
విధేయత,ವಿಧೇಯತ,,vidheyata,Paste
గౌరకంతస్థాపినఈ,ಗೌರಕಂತಸ್ಥಾಪಿನಈ,,gaurakaṃtasthāpinaī,Before
గళాత,ಗಳಾತ,,gaḻāta,Only
జీస్,ಜೀಸ್,,jīs,Share
పేస్టీఅను,ಪೇಸ್ಟೀಅನು,,pesṭīanu,Protect
ముందుj,ಮುಂದುj,,muṃduj,Swallow
మాత్రరం,ಮಾತ್ರರಂ,,mātraraṃ,Satisfactory
శేరిసి,ಶೇರಿಸಿ,,śerisi,Gobbiprajantudu.
రక్ష,ರಕ್ಷ,,rakṣa,Recognize
శ్వాలిమానింప,ಶ್ವಾಲಿಮಾನಿಂಪ,,śvālimāniṃpa,Grand
సాధంశాలింగరం,ಸಾಧಂಶಾಲಿಂಗರಂ,,sādhaṃśāliṃgaraṃ,Video
గొబ్బిప్రజంతుడు.,ಗೊಬ್ಬಿಪ್ರಜಂತುಡು.,,gòbbiprajaṃtuḍu.,Upload.
"గుర్తురీ,","ಗುರ್ತುರೀ,",,"gurturī,",But
అగ్రండ,ಅಗ್ರಂಡ,,agraṃḍa,Only
వీడియో,ವೀಡಿಯೋ,,vīḍiyo,Anumuti
పాడంది.,ಪಾಡಂದಿ.,,pāḍaṃdi.,Let Shankarshan
కానీ,ಕಾನೀ,,kānī,Directors
మాత్రం,ಮಾತ್ರಂ,,mātraṃ,-
అనుముతి,ಅನುಮುತಿ,,anumuti,Adhilan
లేటసశంకర్షన్న,ಲೇಟಸಶಂಕರ್ಷನ್ನ,,leṭasaśaṃkarṣanna,Fruit
దర్శకా,ದರ್ಶಕಾ,,darśakā,Growth
-,-,,-,Such
అధిఐలాన్,ಅಧಿಐಲಾನ್,,adhiailān,Name
ఫలి,ಫಲಿ,,phali,Lali
అభివృద్ధిపే,ಅಭಿವೃದ್ಧಿಪೇ,,abhivṛddhipe,Work
ఇటువంటి,ಇಟುವಂಟಿ,,iṭuvaṃṭi,People
పేరు,ಪೇರು,,peru,Respectfully
లాలి,ಲಾಲಿ,,lāli,All
పనీలు,ಪನೀಲು,,panīlu,Other
మనిషులుతా,ಮನಿಷುಲುತಾ,,maniṣulutā,Different
ఆదారంగా,ಆದಾರಂಗಾ,,ādāraṃgā,
అన్ని,ಅನ್ನಿ,,anni,
ఇతరపీపెత్త,ಇತರಪೀಪೆತ್ತ,,itarapīpètta,
మత్తరం,ಮತ್ತರಂ,,mattaraṃ,
