Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
ॅँथ,ॅಁಥ,ಸಂಭಾವಿತ ವ್ಯಕ್ತಿ,ॅ~tha,Gentleman
"४हग१,","೪ಹಗ೧,","४ ಹಗ್ 1,","4haga1,","४ Hug 1,"
>१७,>೧೭,> 14,>17,> 14
४६क७,೪೬ಕ೭,4,46ka7,4
डटॉट,ಡಟॉಟ,ಗಡಿ,ḍaṭaॉṭa,Dutot
$,$,",",$,","
&थ८,&ಥ೮,& ನೇ,&tha8,& Th
ठ९०२ड,ಠ೯೦೨ಡ,62 ಡಿ,ṭha902ḍa,62D
ट१$,ಟ೧$,ಟಿ 1 $,ṭa1$,T1 $
ह5७छ६,ಹ5೭ಛ೬,ಎಚ್ 57 ಗ್ರಾಂ 4,ha57cha6,H 57 g 4
ख८०,ಖ೮೦,ಬಿ 40,kha80,B40
$,$,",",$,","
७१,೭೧,41,71,41
58ट,58ಟ,58 ಟಿ,58ṭa,58 t
७४,೭೪,4,74,4
2,2,2,2,2
७०%,೭೦%,60%,70%,60%
२०ढ,೨೦ಢ,20 ಎರಡು,20ḍha,20 two
४लड,೪ಲಡ,ಹುಡುಗ,4laḍa,४ lad
७०६०चग्ई,೭೦೬೦ಚಗ್ಈ,6080 ಸಿಎಚ್‌ಜಿಐ,7060cagī,6080 Chgi
टशािगॅ५६२,ಟಶಾಿಗॅ೫೬೨,ತಾಸಿಗಾನ್ 582,ṭaśāigaॅ562,Tasigon 582
७॰ठ,೭॰ಠ,4 ನೇ,7॰ṭha,4th
@८७,@೮೭,@4,@87,@4
४९७५,೪೯೭೫,795,4975,795
७8%($,೭8%($,48%($,78%($,48%($
&5%(&,&5%(&,& 5%(&,&5%(&,& 5%(&
