Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
"2019,","2019,","2 2 2 ,,,,,,,,i","2019,","௨ ௨ ௨,,,,,,,,"
2020,2020,2020,2020,௨௦௨௦
"2022,","2022,","22022,","2022,","௨௨௦௨௨,"
2023,2023,2023,2023,௨௦௨௩
மறுபதிப்பு,മറുഭധിഭ്ഭു,റെപിന്റ് ചെയ്യുക,maṟubhadhibhbhu,Reprint
"2021,","2021,","2 2 2 2 ,,,,,,,,,,,,,","2021,","௨ ௨ ௨ ௨,,,,,,,"
2024,2024,2024,2024,௨௦௨௪
புதிய,ഭുധിയ,നവീനമായ,bhudhiya,New
பாடத்திட்டத்தின்,ഭാഢധ്ധിഢ്ഢധ്ധിன്,പാഠായം,bhāḍhadhdhiḍhḍhadhdhiṉ,Curriculum
ழ்,ഴ്,പ്രത്യക്ഷപ്പെടുന്നത്,l̤,ழ்
வெளியிடப்பட்ட,വെളിയിഢഭ്ഭഢ്ഢ,പ്രസിദ്ധീകരിച്ചത്,vèḻiyiḍhabhbhaḍhḍha,Published
முப்பருவ,മുഭ്ഭരുവ,ഉഴുക,mubhbharuva,Hump
நூல்),നൂല്),ത്രെഡ്),nūl),Thread)
விற்பனைக்கு,വിറ്ഭனൈഘ്ഘു,വില്പനയ്ക്ക്,viṟbhaṉaighghu,For sale
அன்று,അன്റു,മേല്,aṉṟu,On
பாடநூல்,ഭാഢനൂല്,പാഠപുസ്തകം,bhāḍhanūl,Textbook
உருவாக்கமும்,ഉരുവാഘ്ഘമും,സൃഷ്ടി,uruvāghghamuṃ,Creation
தொகுப்பும்,ധൊഘുഭ്ഭും,ശേഖരം കൂടി,dhòghubhbhuṃ,Also the collection
ஆராய்ச்சி,ആരായ്ഝ്ഝി,ഗവേഷണം നടത്തുക,ārāyjhjhi,Research
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
கல்வியியல்,ഘല്വിയിയല്,അക്കാദമിക്,ghalviyiyal,Academics
1111111111,1111111111,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1111111111,௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧
தற்சிநிறுவனம்,ധറ്ഝിനിറുവனം,നിരാശാജനകമായ രൂപീകരണം,dhaṟjhiniṟuvaṉaṃ,Desperate formation
மாநிலக்,മാനിലഘ്,രാജം,mānilagh,State
எல்லாம்உடையார்,എല്ലാംഉഢൈയാര്,എല്ലാം,èllāṃuḍhaiyār,Everything
அறிவுடையார்,അറിവുഢൈയാര്,അറിവുള്ള,aṟivuḍhaiyār,Wise
சென்னை?,ഝെன്னൈ?,ചെന്നൈ?,jhèṉṉai?,Chennai?
600,600,6 6 6 6 0 0 6,600,௬ ௬ ௬ ௬ ௦ ௦ ௬
900,900,900,900,௯௦௦
மாநிலக்,മാനിലഘ്,രാജം,mānilagh,State
கல்வியியல்,ഘല്വിയിയല്,അക്കാദമിക്,ghalviyiyal,Academics
ஆராய்ச்சி,ആരായ്ഝ്ഝി,ഗവേഷണം നടത്തുക,ārāyjhjhi,Research
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
பயிற்சி,ഭയിറ്ഝി,തൊഴില്പരിശീലനം,bhayiṟjhi,Training
நிறுவனம்,നിറുവனം,നഗരസഭ,niṟuvaṉaṃ,Corporation
SCERT,SCERT,സ്കൈറഡ്,SCERT,Scyrad
2018,2018,2018,2018,௨௦௧௮
நூல்,നൂല്,നൂല്,nūl,Yarn
அச்சாக்கம்,അഝ്ഝാഘ്ഘം,അച്ചടി,ajhjhāghghaṃ,Printing
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
www.krajicek.com,,,,
டப்ல்,ഢഭ്ല്,Tapll,ḍhabhl,Tapl
தமிநாடு,ധമിനാഢു,തമിഴ്നാട്ടിന്,dhamināḍhu,Tamilnadu
பெரிந்தாகளாகளாக,ഭെരിന്ധാഘളാഘളാഘ,വറ്റകോട്ട്,bhèrindhāghaḻāghaḻāgha,Bigots
கழகம்,ഘഴഘം,ചങ്ങാത്തം,ghal̤aghaṃ,Association
கற்க,ഘറ്ഘ,പഠിക്കാൻ,ghaṟgha,To learn
கசடற்,ഘഝഢറ്,കിംവദന്തി,ghajhaḍhaṟ,Gossip
தமிழ்நாடு,ധമിഴ്നാഢു,തമിഴ്നാട്,dhamil̤nāḍhu,Tamil Nadu
பாடநூல்,ഭാഢനൂല്,പാഠപുസ്തകം,bhāḍhanūl,Textbook
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
கல்வியியல்,ഘല്വിയിയല്,അക്കാദമിക്,ghalviyiyal,Academics
பணிகள்,ഭണിഘള്,ചുമതലകൾ,bhaṇighaḻ,Tasks
கழகம்,ഘഴഘം,ചങ്ങാത്തം,ghal̤aghaṃ,Association
www.textbooksonline.tn.ni,,,,
II,II,ഇ.,II,E.
"01_1st_Tamil_Term,","01_1st_Tamil_Term,","01_1st_timm_term,","01_1st_Tamil_Term,","௦௧_௧st_Tamil_Term,"
ற்பரப்,റ്ഭരഭ്,ഉബിളി,ṟbharabh,Ubble
2,2,2,2,௨
29/12/2023,29/12/2023,29/12/2023,29/12/2023,௨௯/௧௨/௨௦௨௩
14:29:14,14:29:14,14:29:14,14:29:14,௧௪:௨௯:௧௪
முகவுரை,മുഘവുരൈ,പാലിഫ്റ്റ്,mughavurai,Prelift
குழந்தைகளின்,ഘുഴന്ധൈഘളിன്,കുട്ടികളുടെ,ghul̤andhaighaḻiṉ,Children's
2,2,2,2,௨
லகம்,ലഘം,കത്തിടപാട്,laghaṃ,Correspondence
வண்ணமயமானது!,വണ്ണമയമാனധു!,വർണ്ണാഭമായത്!,vaṇṇamayamāṉadhu!,Colorful!
விந்தைகள்,വിന്ധൈഘള്,സ്ഖലനം,vindhaighaḻ,Ejaculation
பல,ഭല,വളരെ,bhala,Many
நிறைந்தது!,നിറൈന്ധധു!,പൂരിപ്പിച്ച!,niṟaindhadhu!,Filled!
அவர்களின்,അവര്ഘളിன്,അവരുടെ,avarghaḻiṉ,Their
கற்பனைத்திறன்,ഘറ്ഭனൈധ്ധിറன്,ഭാവന,ghaṟbhaṉaidhdhiṟaṉ,Imagination
கானுயிர்களையும்,ഘാனുയിര്ഘളൈയും,കരുമി,ghāṉuyirghaḻaiyuṃ,Canumi
நட்புடன்,നഢ്ഭുഢன്,സൗഹൃദത്തോടെ,naḍhbhuḍhaṉ,With friendly
நடை,നഢൈ,നടക്കുക,naḍhai,Walk
பயில,ഭയില,ലഘുലേഖ,bhayila,Tract
வைத்திடும்,വൈധ്ധിഢും,സൂക്ഷിക്കുന്നു,vaidhdhiḍhuṃ,Kept
புதியன,ഭുധിയன,നവീനമായ,bhudhiyaṉa,New
விரும்பும்,വിരുംഭും,ആഗ്രഹിച്ചു,viruṃbhuṃ,Desired
அவர்தம்,അവര്ധം,അവരെ,avardhaṃ,Them
உற்சாக,ഉറ്ഝാഘ,പചോദനം,uṟjhāgha,Excitement
உள்ளம்,ഉള്ളം,ഹൃദയം,uḻḻaṃ,Heart
அஃறிணைப்,അഃറിണൈഭ്,Aple,aḥṟiṇaibh,Clay
பொருள்களையும்,ഭൊരുള്ഘളൈയും,വസ്തുക്കളും,bhòruḻghaḻaiyuṃ,Objects too
அழகுதமிழ்,അഴഘുധമിഴ്,സൗന്ദരം തമിഴ്,al̤aghudhamil̤,Beauty Tamil
பேசிடச்,ഭേഝിഢഝ്,സംസാരം,bhejhiḍhajh,Talk
செய்திடும்,ഝെയ്ധിഢും,പതിനിധിസംഘം,jhèydhiḍhuṃ,Delegation
அப்புதிய,അഭ്ഭുധിയ,മറച്ചു,abhbhudhiya,Hid
உலகில்,ഉലഘില്,ലോകത്തിൽ,ulaghil,In the world
குழந்தைகளோடு,ഘുഴന്ധൈഘളോഢു,കുട്ടികൾക്കൊപ്പം,ghul̤andhaighaḻoḍhu,With children
பயணம்,ഭയണം,യാത,bhayaṇaṃ,Journey
செய்வது,ഝെയ്വധു,ചെയ്യുക,jhèyvadhu,Do
மகிழ்ச்சியும்,മഘിഴ്ഝ്ഝിയും,സന്തോഷം,maghil̤jhjhiyuṃ,Happiness
நெகிழ்ச்சியும்,നെഘിഴ്ഝ്ഝിയും,അപരാപ്തമായ,nèghil̤jhjhiyuṃ,Resilient
நிறைந்தது,നിറൈന്ധധു,സന്വുഷ്ടമായ,niṟaindhadhu,Rich
தமிழ்க்,ധമിഴ്ഘ്,തമിഴ്,dhamil̤gh,Tamil
குழந்தைகளின்,ഘുഴന്ധൈഘളിன്,കുട്ടികളുടെ,ghul̤andhaighaḻiṉ,Children's
பிஞ்சுக்கரங்கள்,ഭിഞ്ഝുഘ്ഘരങ്ഘള്,ബണ്ണുകൾ,bhiñjhughgharaṅghaḻ,Buns
பற்றி,ഭറ്റി,കുറിച്ച്,bhaṟṟi,About
இப்புதிய,ഇഭ്ഭുധിയ,നവീനമായ,ibhbhudhiya,New
பாடநூல்களின்,ഭാഢനൂല്ഘളിன്,പാഠപുസ്തകങ്ങൾ,bhāḍhanūlghaḻiṉ,Textbooks
துணைகொண்டு,ധുണൈഘൊണ്ഢു,ഉക്സിലറി,dhuṇaighòṇḍhu,Auxiliary
கீழ்க்கண்ட,ഘീഴ്ഘ്ഘണ്ഢ,പിന്തുടരുന്ന,ghīl̤ghghaṇḍha,Following
நோக்கங்களை,നോഘ്ഘങ്ഘളൈ,ഉദ്ദേശതം,noghghaṅghaḻai,Intentions
அடைந்திடப்,അഢൈന്ധിഢഭ്,എത്തിച്ചേരുക,aḍhaindhiḍhabh,Reach
பெருமுயற்சி,ഭെരുമുയറ്ഝി,സംരംഭം,bhèrumuyaṟjhi,Venture
செய்துள்ளோம்:,ഝെയ്ധുള്ളോം:,ഞങ്ങൾ ചെയ്തു:,jhèydhuḻḻoṃ:,We have done:
கற்றலை,ഘറ്റലൈ,പഠിക്കുന്നു സ്വിംഗ്,ghaṟṟalai,Learning swing
மனனத்தின்,മனனധ്ധിன്,ലഘുഗന്ഥം,maṉaṉadhdhiṉ,Manual
திசையில்,ധിഝൈയില്,സംവിധാനം,dhijhaiyil,Direction
இருந்து,ഇരുന്ധു,മുതല്,irundhu,From
மாற்றி,മാറ്റി,കൺവെർട്ടർ,māṟṟi,Converter
படைப்பின்,ഭഢൈഭ്ഭിன്,സൃഷ്ടി,bhaḍhaibhbhiṉ,Creation
பாதையில்,ഭാധൈയില്,യാതാമാര്ഗം,bhādhaiyil,Route
பயணிக்க,ഭയണിഘ്ഘ,യാത്ര ചെയ്യാൻ,bhayaṇighgha,To travel
வைத்தல்,വൈധ്ധല്,പിടിക്കുക,vaidhdhal,Holding
தமிழர்தம்,ധമിഴര്ധം,തമിഴ്നാട്ടിന്,dhamil̤ardhaṃ,Tamilnadu
"தொன்மை,","ധൊன്മൈ,",പുരാതന,"dhòṉmai,",The ancient
வரலாறு,വരലാറു,ചരിതം,varalāṟu,History
பண்பாடு,ഭണ്ഭാഢു,സംസ്കാരം,bhaṇbhāḍhu,Culture
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
கலை:,ഘലൈ:,കല:,ghalai:,Art:
இலக்கியம்,ഇലഘ്ഘിയം,സാഹിത്യം,ilaghghiyaṃ,Literature
குறித்த,ഘുറിധ്ധ,മേല്,ghuṟidhdha,On
பெருமித,ഭെരുമിധ,അഭിമാനിയായ,bhèrumidha,Proud
உணர்வை,ഉണര്വൈ,പബുദ്ധത,uṇarvai,Consciousness
மாணவர்கள்,മാണവര്ഘള്,വിദ്യാർത്ഥികൾ,māṇavarghaḻ,Students
பெறுதல்,ഭെറുധല്,സ്വീകരിക്കുന്ന,bhèṟudhal,Receiving
தன்னம்பிக்கையுடன்,ധன്னംഭിഘ്ഘൈയുഢன്,ആത്മവിശ്വാസത്തോടെ,dhaṉṉaṃbhighghaiyuḍhaṉ,With confidence
அறிவியல்,അറിവിയല്,ശാസ്തം,aṟiviyal,Science
தொழில்நுட்பம்,ധൊഴില്നുഢ്ഭം,സാങ്കേതികവിദ,dhòl̤ilnuḍhbhaṃ,Technology
கைக்கொண்டு,ഘൈഘ്ഘൊണ്ഢു,കൈ,ghaighghòṇḍhu,Hand
மாணவர்கள்,മാണവര്ഘള്,വിദ്യാർത്ഥികൾ,māṇavarghaḻ,Students
நவீன,നവീன,ആധുനികമായ,navīṉa,Modern
உலகில்,ഉലഘില്,ലോകത്തിൽ,ulaghil,In the world
வெற்றிநடை,വെറ്റിനഢൈ,വിജയി,vèṟṟinaḍhai,Winner
பயில்வதை,ഭയില്വധൈ,പഠനം,bhayilvadhai,Studying
உறுதிசெய்தல்,ഉറുധിഝെയ്ധല്,സ്ഥിരീകരണം,uṟudhijhèydhal,Confirmation
அறிவுத்தேடலை,അറിവുധ്ധേഢലൈ,വെറ്റിക്കൊണ്ടിരിക്കും,aṟivudhdheḍhalai,Wetling
வெறும்,വെറും,കേ മാത്രം,vèṟuṃ,Mere
ஏட்டறிவாய்க்,ഏഢ്ഢറിവായ്ഘ്,റെക്കോർഡുള്ള,eḍhḍhaṟivāygh,Recorder
குறைத்து,ഘുറൈധ്ധു,അടിത്തറതോണ്ടുക,ghuṟaidhdhu,Undermine
மதிப்பிடாமல்,മധിഭ്ഭിഢാമല്,വിലയിരുത്തുന്നത് ഇല്ലാതെ,madhibhbhiḍhāmal,Without assessing
அறிவுச்,അറിവുഝ്,അറിവ്,aṟivujh,Knowledge
சாளரமாய்ப்,ഝാളരമായ്ഭ്,വിൻഡോ ബോറൽ,jhāḻaramāybh,Window bore
புத்தகங்கள்,ഭുധ്ധഘങ്ഘള്,പുസ്തകങ്ങള്,bhudhdhaghaṅghaḻ,Books
விரிந்து,വിരിന്ധു,വീതിയുള്ള,virindhu,Wide
பரவி,ഭരവി,വ്യാപനം,bharavi,Spread
வழிகாட்டுதல்,വഴിഘാഢ്ഢുധല്,മാര്ഗ്ഗനിര്ദ്ദേശം,val̤ighāḍhḍhudhal,Guidance
பாடநூலின்,ഭാഢനൂലിன്,പാഠപുസ്തകം,bhāḍhanūliṉ,Textbook
புதுமையான,ഭുധുമൈയാன,യോഗ്യൻ,bhudhumaiyāṉa,Unworthy
வடிவமைப்பு,വഢിവമൈഭ്ഭു,ചിതണം,vaḍhivamaibhbhu,Design
ஆழமான,ആഴമാன,ആഴത്തില്,āl̤amāṉa,Deep
பொருள்,ഭൊരുള്,വസ്തു,bhòruḻ,Stuff
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
குழந்தைகளின்,ഘുഴന്ധൈഘളിன്,കുട്ടികളുടെ,ghul̤andhaighaḻiṉ,Children's
2,2,2,2,௨
ளவியல்,ളവിയല്,മന്ത്രനിലവാരം,ḻaviyal,Dicology
சார்ந்த,ഝാര്ന്ധ,ബ്യൂറോക്രാറ്റിക്,jhārndha,Bureaucratic
அனுகுமுறை,അனുഘുമുറൈ,സജ്ജീകരണം,aṉughumuṟai,Equipment
எனப்,എனഭ്,പോലെ,èṉabh,As
புதுமைகள்,ഭുധുമൈഘള്,പുതുമകൾ,bhudhumaighaḻ,Innovations
பல,ഭല,വളരെ,bhala,Many
தாங்கி,ധാങ്ഘി,അടിച്ചു,dhāṅghi,Beaten
உங்களுடைய,ഉങ്ഘളുഢൈയ,നിങ്ങളുടെ,uṅghaḻuḍhaiya,Your
கரங்களில்,ഘരങ്ഘളില്,കൈകളിൽ,gharaṅghaḻil,In the arms
இப்புதிய,ഇഭ്ഭുധിയ,നവീനമായ,ibhbhudhiya,New
பாடநூல்,ഭാഢനൂല്,പാഠപുസ്തകം,bhāḍhanūl,Textbook
"தவழும்பொழுது,","ധവഴുംഭൊഴുധു,","ഇഴകുമ്പോൾ,","dhaval̤uṃbhòl̤udhu,","When creepy,"
பெருமிதம்,ഭെരുമിധം,അഹങ്കാരം,bhèrumidhaṃ,Pride
ததும்ப,ധധുംഭ,നിദ്,dhadhuṃbha,Tad
ஒரு,ഒരു,ഒരു,òru,A
புதிய,ഭുധിയ,നവീനമായ,bhudhiya,New
உலகத்துக்குள்,ഉലഘധ്ധുഘ്ഘുള്,ലോകത്തിനുള്ളിൽ,ulaghadhdhughghuḻ,Within the world
நீங்கள்,നീങ്ഘള്,നിങ്ങൾ,nīṅghaḻ,You
நுழைவீர்கள்,നുഴൈവീര്ഘള്,വേഷം,nul̤aivīrghaḻ,Will entry
என்று,എன്റു,ആ,èṉṟu,That
உறுதியாக,ഉറുധിയാഘ,തീര്ച്ചയായി,uṟudhiyāgha,Certainly
நம்புகிறோம்,നംഭുഘിറോം,നാം വിശ്വസിക്കുന്നു,naṃbhughiṟoṃ,We believe
